experiment,ranks,rows,cols,steps,total_sec,comm_sec,compute_sec,check
small_correctness,1,12,24,5,0.002486010,0.000000758,0.002484158,PASS
small_correctness,2,12,24,5,0.004049715,0.000271418,0.003809730,PASS
small_correctness,4,12,24,5,0.008149014,0.001253893,0.007926842,PASS
strong_1024,1,1024,1024,100,0.119732367,0.000007529,0.119711301,PASS
strong_1024,2,1024,1024,100,0.103517279,0.012644643,0.092884885,PASS
strong_1024,4,1024,1024,100,0.151664914,0.034144910,0.140730762,PASS
strong_2048,1,2048,2048,100,0.228741438,0.000006510,0.228721146,PASS
strong_2048,2,2048,2048,100,0.259676621,0.034673297,0.234360732,PASS
strong_2048,4,2048,2048,100,0.312997439,0.069046344,0.292045168,PASS
weak_512_per_rank,1,512,512,100,0.056643508,0.000006480,0.056623250,PASS
weak_512_per_rank,2,1024,512,100,0.091646617,0.011366162,0.085231848,PASS
weak_512_per_rank,4,2048,512,100,0.152302338,0.037009682,0.137831410,PASS
weak_1024_per_rank,1,1024,1024,100,0.117704547,0.000007496,0.117682979,PASS
weak_1024_per_rank,2,2048,1024,100,0.184376387,0.024736482,0.174680840,PASS
weak_1024_per_rank,4,4096,1024,100,0.335077313,0.088823260,0.282320166,PASS
steps_2048_r4,4,2048,2048,50,0.151662408,0.032292439,0.137355348,PASS
steps_2048_r4,4,2048,2048,100,0.315378793,0.060445717,0.281471416,PASS
steps_2048_r4,4,2048,2048,200,0.661649256,0.166417689,0.592536523,PASS